nohup: ignoring input
SUCCESS: scrape tt1340138
SUCCESS: scrape tt0163025
SUCCESS: scrape tt0381849
SUCCESS: scrape tt1628841
SUCCESS: scrape tt0892769
SUCCESS: scrape tt1905041
SUCCESS: scrape tt0337978
SUCCESS: scrape tt4172430
SUCCESS: scrape tt1133985
SUCCESS: scrape tt1790864
SUCCESS: scrape tt0379786
SUCCESS: scrape tt0367882
SUCCESS: scrape tt1980209
SUCCESS: scrape tt0322259
SUCCESS: scrape tt0368891
SUCCESS: scrape tt4532826
SUCCESS: scrape tt6663582
SUCCESS: scrape tt0493464
SUCCESS: scrape tt2872732
SUCCESS: scrape tt0948470
SUCCESS: scrape tt0790736
SUCCESS: scrape tt0146316
SUCCESS: scrape tt2333784
SUCCESS: scrape tt2345759
SUCCESS: scrape tt1489889
SUCCESS: scrape tt1571234
SUCCESS: scrape tt1409024
SUCCESS: scrape tt0298814
SUCCESS: scrape tt1951265
SUCCESS: scrape tt0320691
SUCCESS: scrape tt4196776
SUCCESS: scrape tt1843303
SUCCESS: scrape tt3731562
SUCCESS: scrape tt0936501
SUCCESS: scrape tt0800320
SUCCESS: scrape tt0353969
SUCCESS: scrape tt1091191
SUCCESS: scrape tt2024469
SUCCESS: scrape tt1136608
SUCCESS: scrape tt2302755
SUCCESS: scrape tt0348150
SUCCESS: scrape tt0317919
SUCCESS: scrape tt0822847
SUCCESS: scrape tt0363547
SUCCESS: scrape tt1596343
SUCCESS: scrape tt1458175
SUCCESS: scrape tt2120120
SUCCESS: scrape tt1219827
SUCCESS: scrape tt4500922
SUCCESS: scrape tt0373074
SUCCESS: scrape tt1321511
SUCCESS: scrape tt3062096
SUCCESS: scrape tt0360717
SUCCESS: scrape tt0465580
SUCCESS: scrape tt5074352
SUCCESS: scrape tt0286716
SUCCESS: scrape tt6679794
SUCCESS: scrape tt1515091
SUCCESS: scrape tt1320253
SUCCESS: scrape tt1245526
SUCCESS: scrape tt2788710
SUCCESS: scrape tt1001526
SUCCESS: scrape tt0399201
SUCCESS: scrape tt0399295
SUCCESS: scrape tt6491178
SUCCESS: scrape tt3829920
SUCCESS: scrape tt0277434
SUCCESS: scrape tt0349683
SUCCESS: scrape tt1981128
SUCCESS: scrape tt1440129
SUCCESS: scrape tt1399103
SUCCESS: scrape tt0238380
SUCCESS: scrape tt1060277
SUCCESS: scrape tt1617661
SUCCESS: scrape tt0230011
SUCCESS: scrape tt0401729
SUCCESS: scrape tt1135084
SUCCESS: scrape tt2404233
SUCCESS: scrape tt0120912
SUCCESS: scrape tt0418763
SUCCESS: scrape tt1291150
SUCCESS: scrape tt0245844
SUCCESS: scrape tt1253863
SUCCESS: scrape tt1289401
SUCCESS: scrape tt1413492
ERROR: tt8574252
SUCCESS: scrape tt0438488
SUCCESS: scrape tt3447364
SUCCESS: scrape tt0317740
SUCCESS: scrape tt4560436
SUCCESS: scrape tt0296572
SUCCESS: scrape tt0831387
SUCCESS: scrape tt1253864
SUCCESS: scrape tt1343727
SUCCESS: scrape tt1954470
SUCCESS: scrape tt3532216
SUCCESS: scrape tt0375912
SUCCESS: scrape tt0120804
SUCCESS: scrape tt2557478
SUCCESS: scrape tt2312718
SUCCESS: scrape tt0473075
SUCCESS: scrape tt0330793
SUCCESS: scrape tt1663662
SUCCESS: scrape tt1034303
SUCCESS: scrape tt1872181
SUCCESS: scrape tt0408306
SUCCESS: scrape tt0458481
SUCCESS: scrape tt1013743
SUCCESS: scrape tt1855199
SUCCESS: scrape tt1615160
SUCCESS: scrape tt0181852
SUCCESS: scrape tt1588170
SUCCESS: scrape tt0859163
SUCCESS: scrape tt0356910
