nohup: ignoring input
ATTENTION: start from https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzM5MDMzNywidHQ5MDcxNDU2Iiw1MDcwMV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzM5MDMzNywidHQ5MDcxNDU2Iiw1MDcwMV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzM5MTAwMywidHQwMTcwNjIzIiw1MDc1MV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzM5MTczNCwidHQwMDg5NzE4Iiw1MDgwMV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzM5MjM1OSwidHQwMDcxNDcyIiw1MDg1MV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzM5Mjk3MywidHQ1MDY3MzE2Iiw1MDkwMV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzM5MzgyMywidHQ5MjMwNzg0Iiw1MDk1MV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzM5NDUxMSwidHQwMDY0MTI3Iiw1MTAwMV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzM5NTE1NSwidHQyMzc2NjYwIiw1MTA1MV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzM5NTkwMSwidHQwMDcwMDk1Iiw1MTEwMV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzM5NjQzNiwidHQ2MDQ5MjE4Iiw1MTE1MV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzM5NzAxMCwidHQwMDg4Nzk5Iiw1MTIwMV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzM5NzYwMywidHQxMjMxMDc2NiIsNTEyNTFd&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzM5ODM1MywidHQ2NDQ5NDY2Iiw1MTMwMV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzM5ODk5NCwidHQxMDQ0MTQ5NiIsNTEzNTFd&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzM5OTc3NCwidHQwMjU5MDM1Iiw1MTQwMV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQwMDQwOCwidHQ2MjkzMjQwIiw1MTQ1MV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQwMTA0MiwidHQxMzM5MzQ5Iiw1MTUwMV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQwMTY2MywidHQwMDUyNzQ4Iiw1MTU1MV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQwMjM0MSwidHQwMTI3MTQ5Iiw1MTYwMV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQwMzAzOSwidHQyMjU3MTQ0Iiw1MTY1MV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQwMzU5NSwidHQwMjg2NjYyIiw1MTcwMV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQwNDE0OCwidHQwMTkzMTgxIiw1MTc1MV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQwNDg4NSwidHQxMDk4MDgxOCIsNTE4MDFd&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQwNTQ5MSwidHQwMDI4NzUxIiw1MTg1MV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQwNjA5MiwidHQ1OTIzNzMwIiw1MTkwMV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQwNzAxOCwidHQxMTU4MzI2Iiw1MTk1MV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQwNzU1NywidHQwMDE0MDYwIiw1MjAwMV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQwODIyNSwidHQwMDA2MzI3Iiw1MjA1MV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQwODc2OCwidHQwMjMyMjI3Iiw1MjEwMV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQwOTYwNiwidHQwMTg0NTY5Iiw1MjE1MV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQxMDMwMSwidHQwMDY1MTY3Iiw1MjIwMV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQxMDk0MSwidHQwMDIxMjE4Iiw1MjI1MV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQxMTU2MSwidHQ2NzcxNDAyIiw1MjMwMV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQxMjI1OCwidHQxNjAxNzk4Iiw1MjM1MV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQxMjg4MCwidHQwMDE3NTg2Iiw1MjQwMV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQxMzYyNywidHQxMDQyNjExMCIsNTI0NTFd&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQxNDMwNSwidHQ0OTgxNTE2Iiw1MjUwMV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQxNDkzOSwidHQwMzcxMjcyIiw1MjU1MV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQxNTcwNiwidHQwMTQyNDA1Iiw1MjYwMV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQxNjM0OCwidHQxMDIyMjU2NCIsNTI2NTFd&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQxNjkzMSwidHQwMTkyNjMwIiw1MjcwMV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQxNzU1MywidHQxNjYxMDQxIiw1Mjc1MV0%3D&explore=genres&ref_=adv_nxt
SUCCESS: scrape https://www.imdb.com/search/title/?title_type=feature&genres=comedy&after=WzQxODI2NCwidHQwMDMzOTE5Iiw1MjgwMV0%3D&explore=genres&ref_=adv_nxt
